Company,LeverOrg,LeverFound,LeverJobs,AshbyOrg,AshbyFound,AshbyJobs
"Alchemy","","no","0","","no","0"
"Coinbase","","no","0","","no","0"
"Circle","","no","0","","no","0"
"Kraken","kraken","yes","0","kraken","yes","1"
"Gemini","","no","0","","no","0"
"Anchorage Digital","","no","0","","no","0"
"Fireblocks","","no","0","","no","0"
"Consensys","","no","0","","no","0"
"Infura","","no","0","","no","0"
"QuickNode","","no","0","quicknode","yes","1"
"Thirdweb","","no","0","","no","0"
"WalletConnect","","no","0","","no","0"
"Rainbow","","no","0","","no","0"
"Phantom","","no","0","phantom","yes","1"
"Ledger","ledger","yes","1","ledger","yes","1"
"Trezor","","no","0","","no","0"
"OpenSea","","no","0","opensea","yes","1"
"Uniswap Labs","","no","0","","no","0"
"Paradigm","","no","0","paradigm","yes","1"
"Pantera Capital","","no","0","","no","0"
"Andreessen Horowitz","","no","0","","no","0"
"Framework Ventures","","no","0","","no","0"
"Polychain Capital","","no","0","","no","0"
"Chainalysis","","no","0","","no","0"
"TRM Labs","","no","0","","no","0"
"Blockdaemon","","no","0","blockdaemon","yes","1"
"Chainstack","","no","0","","no","0"
"Protocol Labs","","no","0","protocol","yes","1"
"Filecoin Foundation","","no","0","","no","0"
"Parity Technologies","","no","0","parity","yes","1"
"Web3 Foundation","","no","0","","no","0"
"Near Foundation","","no","0","","no","0"
"Aptos Labs","","no","0","","no","0"
"Mysten Labs","","no","0","","no","0"
"Offchain Labs","","no","0","","no","0"
"Optimism Foundation","","no","0","","no","0"
"StarkWare","","no","0","","no","0"
"Matter Labs","","no","0","","no","0"
"Polygon Labs","","no","0","","no","0"
"Solana Foundation","","no","0","","no","0"
"Ripple","","no","0","","no","0"
"Eigen Labs","","no","0","","no","0"
"Flashbots","","no","0","","no","0"
"Gauntlet","gauntlet","yes","10","","no","0"
"Lido","","no","0","","no","0"
"Jump Crypto","","no","0","","no","0"
"Scroll","","no","0","","no","0"
"Linea","","no","0","","no","0"
"Base","","no","0","base","yes","1"
"Privy","","no","0","privy","yes","1"
"Bridge","","no","0","bridge","yes","1"
"Okta","","no","0","","no","0"
"Render","","no","0","render","yes","1"
"Perplexity AI","","no","0","","no","0"
"Writer","","no","0","writer","yes","1"