Company,Slug,Found,Jobs
"Alchemy","alchemy","yes","24"
"Coinbase","coinbase","yes","348"
"Circle","","no","0"
"Kraken","","no","0"
"Gemini","gemini","yes","44"
"Anchorage Digital","","no","0"
"Fireblocks","fireblocks","yes","57"
"Consensys","consensys","yes","0"
"Infura","","no","0"
"QuickNode","","no","0"
"Thirdweb","","no","0"
"WalletConnect","","no","0"
"Rainbow","","no","0"
"Phantom","","no","0"
"Ledger","","no","0"
"Trezor","","no","0"
"OpenSea","","no","0"
"Uniswap Labs","","no","0"
"Paradigm","paradigm","yes","1"
"Pantera Capital","","no","0"
"Andreessen Horowitz","","no","0"
"Framework Ventures","","no","0"
"Polychain Capital","","no","0"
"Chainalysis","","no","0"
"TRM Labs","","no","0"
"Blockdaemon","","no","0"
"Chainstack","","no","0"
"Protocol Labs","","no","0"
"Filecoin Foundation","","no","0"
"Parity Technologies","","no","0"
"Web3 Foundation","","no","0"
"Near Foundation","","no","0"
"Aptos Labs","aptos","yes","6"
"Mysten Labs","","no","0"
"Offchain Labs","","no","0"
"Optimism Foundation","","no","0"
"StarkWare","","no","0"
"Matter Labs","","no","0"
"Polygon Labs","","no","0"
"Solana Foundation","","no","0"
"Ripple","ripple","yes","89"
"Eigen Labs","","no","0"
"Flashbots","","no","0"
"Gauntlet","","no","0"
"Lido","","no","0"
"Jump Crypto","","no","0"
"Scroll","","no","0"
"Linea","","no","0"
"Base","","no","0"
"Privy","","no","0"
"Bridge","","no","0"
"Okta","okta","yes","366"
"Render","","no","0"
"Perplexity AI","","no","0"
"Writer","","no","0"